run,error_type,count
llama31_8b_hierarchical,needs_review_to_not_relevant,11
llama31_8b_hierarchical,confirmed_relevant_to_not_relevant,7
llama31_8b_hierarchical,confirmed_relevant_to_needs_review,5
llama31_8b_hierarchical,needs_review_to_confirmed_relevant,4
llama31_8b_hierarchical,not_relevant_to_confirmed_relevant,1
llama31_8b_hierarchical,not_relevant_to_needs_review,1
qwen14b_hierarchical,confirmed_relevant_to_needs_review,18
qwen14b_hierarchical,needs_review_to_not_relevant,7
qwen14b_hierarchical,confirmed_relevant_to_not_relevant,4
qwen14b_hierarchical,not_relevant_to_needs_review,1
qwen7b_direct,needs_review_to_not_relevant,11
qwen7b_direct,confirmed_relevant_to_needs_review,5
qwen7b_direct,confirmed_relevant_to_not_relevant,5
qwen7b_direct,needs_review_to_confirmed_relevant,3
qwen7b_hierarchical,needs_review_to_not_relevant,13
qwen7b_hierarchical,confirmed_relevant_to_not_relevant,6
qwen7b_hierarchical,confirmed_relevant_to_needs_review,3
qwen7b_hierarchical,needs_review_to_confirmed_relevant,1
