dataset,split,threshold,records,positives,negatives,tp,fp,tn,fn,precision,recall,f1,accuracy
strict_binary,train,0.0,211,99,112,99,112,0,0,0.46919431279620855,1.0,0.6387096774193548,0.46919431279620855
strict_binary,train,0.02,211,99,112,94,63,49,5,0.5987261146496815,0.9494949494949495,0.7343749999999999,0.6777251184834123
strict_binary,train,0.05,211,99,112,92,48,64,7,0.6571428571428571,0.9292929292929293,0.7698744769874477,0.7393364928909952
strict_binary,train,0.1,211,99,112,88,41,71,11,0.6821705426356589,0.8888888888888888,0.7719298245614036,0.7535545023696683
strict_binary,train,0.15,211,99,112,83,26,86,16,0.7614678899082569,0.8383838383838383,0.798076923076923,0.8009478672985783
strict_binary,train,0.2,211,99,112,80,16,96,19,0.8333333333333334,0.8080808080808081,0.8205128205128206,0.8341232227488151
strict_binary,train,0.25,211,99,112,78,10,102,21,0.8863636363636364,0.7878787878787878,0.8342245989304813,0.8530805687203792
strict_binary,train,0.3,211,99,112,72,7,105,27,0.9113924050632911,0.7272727272727273,0.8089887640449438,0.8388625592417062
strict_binary,train,0.4,211,99,112,57,3,109,42,0.95,0.5757575757575758,0.7169811320754716,0.7867298578199052
strict_binary,train,0.5,211,99,112,49,2,110,50,0.9607843137254902,0.494949494949495,0.6533333333333333,0.7535545023696683
strict_binary,train,0.6,211,99,112,30,1,111,69,0.967741935483871,0.30303030303030304,0.46153846153846156,0.6682464454976303
strict_binary,train,0.7,211,99,112,18,1,111,81,0.9473684210526315,0.18181818181818182,0.3050847457627119,0.6113744075829384
strict_binary,train,0.8,211,99,112,11,1,111,88,0.9166666666666666,0.1111111111111111,0.1981981981981982,0.5781990521327014
strict_binary,train,0.9,211,99,112,4,0,112,95,1.0,0.04040404040404041,0.07766990291262137,0.5497630331753555
strict_binary,test,0.0,53,25,28,25,28,0,0,0.4716981132075472,1.0,0.641025641025641,0.4716981132075472
strict_binary,test,0.02,53,25,28,24,17,11,1,0.5853658536585366,0.96,0.7272727272727272,0.660377358490566
strict_binary,test,0.05,53,25,28,24,11,17,1,0.6857142857142857,0.96,0.7999999999999999,0.7735849056603774
strict_binary,test,0.1,53,25,28,22,9,19,3,0.7096774193548387,0.88,0.7857142857142856,0.7735849056603774
strict_binary,test,0.15,53,25,28,21,5,23,4,0.8076923076923077,0.84,0.8235294117647058,0.8301886792452831
strict_binary,test,0.2,53,25,28,20,5,23,5,0.8,0.8,0.8000000000000002,0.8113207547169812
