mode,rank,annotation_id,source_id,url,title,triage_class,target_actionable,thematic_score_eval,thematic_score_norm,tfidf_actionable_probability,tfidf_actionable_prediction,llm_triage_class,llm_actionable_signal,confidence_proxy,final_review_priority,lead_reason,llm_evidence,llm_notes
score_only,1,ann_0174,bs_bauprojekte_tiefbau,https://www.bs.ch/schwerpunkte/bauprojekte/seiten/bauprojekte-fuer-strassen-gruenanlagen-gewaesser/stadtraum-bhf-sbb,Stadtraum Bahnhof SBB,needs_review,1,0.925,1.0,0.6233449095051833,1,needs_review,0.8,1.0,high,score_only: high thematic_score; TF IDF predicts actionable; LLM triage needs_review,Zusätzliche Bahnhofszugänge auf der Margarethenbrücke und am «Markthallenplatz»,"The source discusses plans for new entrances and improved connections around the Basel SBB station, including a new 'Markthallenplatz' and changes to the Margarethenbrücke. However, there is no concrete confirmation that these changes will result in physical modifications to the road network geometry or topology."
score_only,2,ann_0347,zh_geplante_strassenprojekte,https://www.zh.ch/de/planen-bauen/tiefbau/geplante-strassenprojekte/geplantes-strassenprojekt-regensdorf.html,Geplantes Strassenprojekt Regensdorf Affolternstrasse,confirmed_relevant,1,0.838,0.9059459459459459,0.6718296919889245,1,needs_review,0.8,0.9059459459459459,high,score_only: high thematic_score; TF IDF predicts actionable; LLM triage needs_review,"Die Affolternstrasse wird zwischen der Watterstrasse und der Stadtgrenze Zürich erneuert, dabei verschmälert und in beide Fahrtrichtungen mit einem Radstreifen ergänzt.","The source mentions road narrowing and widening, but does not provide enough evidence to confirm a persistent TLM geometry update."
score_only,3,ann_0003,so_media_2023_mai,https://so.ch/verwaltung/staatskanzlei/medien/medienarchiv-2023/mai/mai-2023/news/mobilitaetskonzept-wasseramt-so-soll-sich-die-region-kuenftig-entwickeln/,Mobilitätskonzept Wasseramt: So soll sich die Region künftig entwickeln - Kanton Solothurn,needs_review,1,0.758,0.8194594594594594,0.433013629585846,0,not_relevant,0.0,0.8194594594594594,low,"score_only: high thematic_score; TF IDF uncertainty band; LLM triage not_relevant, used only as downgrade signal",The document outlines plans for sustainable mobility improvements but does not specify any confirmed road or path geometry changes.,The source describes planning and vision for future mobility improvements but does not contain any concrete geometry or topology updates.
score_only,4,ann_0178,bs_bauprojekte_tiefbau,https://www.bs.ch/schwerpunkte/bauprojekte/seiten/bauprojekte-fuer-strassen-gruenanlagen-gewaesser/tram-margarethenverbindung,Tram Margarethenverbindung,needs_review,1,0.72,0.7783783783783783,0.595954515050347,1,needs_review,0.8,0.7783783783783783,high,score_only: high thematic_score; TF IDF predicts actionable; LLM triage needs_review,"Die Margarethenverbindung verbindet die Haltestellen Margarethen und Binningen, Dorenbach via Margarethenstich.","The source describes a tram connection project that could imply new tram tracks or alignments, but lacks concrete evidence of TLM geometry updates."
score_only,5,ann_0004,so_media_2024_juli,https://so.ch/verwaltung/staatskanzlei/medien/medienarchiv-2024/juli/juli-2024/news/aarburgerstrasse-olten-deckbelagsarbeiten-unter-vollsperrung/,Aarburgerstrasse Olten: Deckbelagsarbeiten unter Vollsperrung - Kanton Solothurn,not_relevant,0,0.66,0.7135135135135136,0.4035250654035097,0,not_relevant,0.0,0.7135135135135136,low,"score_only: high thematic_score; TF IDF uncertainty band; LLM triage not_relevant, used only as downgrade signal",Deckbelagsarbeiten unter Vollsperrung,The source describes road resurfacing and temporary traffic management without any concrete geometry or topology updates.
score_only,6,ann_0319,ag_strassenprojekte,https://www.ag.ch/de/themen/mobilitaet-verkehr/strasseninfrastruktur/strassenprojekte/dintikon-langelen,JavaScript deaktiviert oder nicht unterstützt.,confirmed_relevant,1,0.635,0.6864864864864865,0.6941349351155899,1,confirmed_relevant,1.0,0.6864864864864865,high,score_only: high thematic_score; TF IDF predicts actionable; LLM triage confirmed_relevant,Die Bünztalstrasse wird mit einer Unterführung kreuzungsfrei unter der Dorf-/Bahnhofstrasse und dem Kreisel Langelen hindurchgeführt.,"The project involves the creation of an underpass for the Bünztalstrasse and the modification of the existing roundabout, which will significantly alter the road network's topology."
score_only,7,ann_0302,be_region_emmental_oberaargau,https://www.kantonsstrassen-projekte.bvd.be.ch/de/start/region-emmental-oberaargau/neubau-radweg-und-instandsetzung-krauchthalstrasse-oberburg.html,Neubau Radweg und Instandsetzung Krauchthalstrasse Oberburg,confirmed_relevant,1,0.596,0.6443243243243243,0.6985712376611349,1,needs_review,0.8,0.6443243243243243,high,score_only: high thematic_score; TF IDF predicts actionable; LLM triage needs_review,"In Abschnitt 1 plant der Oberingenieurkreis IV einen durchgehenden Radweg. Die Massnahmen dazu sind die folgenden: Asphaltierung des bestehenden Radwegs: Von der Kreuzung Luterbachstrasse bis zum Vennerhus (Krauchthalstrasse 107) wird der bestehende Mergelweg asphaltiert. An der Kreuzung ist eine Abbiegehilfe geplant, so dass die Velofahrenden, die von Oberburg kommen, sicher auf den Radweg einbiegen können. Neubau Radweg: Vom Vennerhus bis zur Projektgrenze an der westlichen Seite der Vennerhuskurve wird der Radweg neu erstellt, dafür wird die Kantonsstrasse an der Engstelle der Kurve leicht verschoben.","The source mentions the creation of a new bike path, but it is still in the planning phase and no concrete implementation details are provided."
score_only,8,ann_0197,zh_baustellen,https://www.zh.ch/de/planen-bauen/tiefbau/baustellen/strassenprojekt-gossau-gruetstrasse-.html,Strassenprojekt Gossau Grütstrasse,confirmed_relevant,1,0.564,0.6097297297297296,0.7019419903378866,1,needs_review,0.8,0.6097297297297296,high,score_only: high thematic_score; TF IDF predicts actionable; LLM triage needs_review,Im Bereich der Einmündungen «Im Zentrum» und «Wüeristrasse» werden zwei neue Fussgängerübergänge mit Mittelinsel gebaut.,"The source mentions the construction of new pedestrian crossings with central islands, which could imply a geometry change, but there is insufficient evidence to confirm this."
score_only,9,ann_0114,zg_tba_strassenprojekte,https://zg.ch/de/planen-bauen/tiefbau/strassenprojekte/instandsetzung-und-verbreiterung-der-lorzenbruecke-der-strasse-k-in-baar,"KS K, Instandsetzung Lorzenbrücke Strasse K, Baar",confirmed_relevant,1,0.562,0.6075675675675676,0.6342467382973666,1,needs_review,0.8,0.6075675675675676,high,score_only: high thematic_score; TF IDF predicts actionable; LLM triage needs_review,Bau einer neuen Radwegunterführung längs der Lorze unter der Kantonsstrasse K. Verbesserung der Querung für zu Fuss Gehende auf der Höhe der Mühlegasse mit einer Mittelinsel.,"The source mentions a new bike underpass and a pedestrian crossing improvement with a central island, which could imply a geometry change, but the confirmation is not strong enough."
score_only,10,ann_0306,zh_geplante_strassenprojekte,https://www.zh.ch/de/planen-bauen/tiefbau/geplante-strassenprojekte/geplantes-strassenprojekt-turbenthal.html,Geplantes Strassenprojekt Turbenthal,confirmed_relevant,1,0.553,0.5978378378378378,0.6973082983177488,1,needs_review,0.8,0.5978378378378378,high,score_only: high thematic_score; TF IDF predicts actionable; LLM triage needs_review,Die Kreuzung Tösstalstrasse/St. Gallerstrasse wurde in einen Kreisel umfunktioniert.,"The source mentions plans for improvements including a roundabout and pedestrian crossings, but these are still in the planning stage and not yet confirmed for implementation."
