task,method,method_type,records,positives,negatives,precision,recall,f1,accuracy,tp,fp,tn,fn
actionable_binary,Qwen2.5 14B hierarchical,local_llm,70,42,28,0.96875,0.7380952380952381,0.8378378378378378,0.8285714285714286,31,1,27,11
actionable_binary,TF IDF Logistic Regression,classical_ml,70,42,28,0.7708333333333334,0.8809523809523809,0.8222222222222222,0.7714285714285715,37,11,17,5
actionable_binary,Qwen2.5 14B direct,local_llm,70,42,28,0.9375,0.7142857142857143,0.8108108108108109,0.8,30,2,26,12
actionable_binary,thematic_score,deterministic_score,70,42,28,0.75,0.8571428571428571,0.8,0.7428571428571429,36,12,16,6
actionable_binary,Qwen2.5 7B direct,local_llm,70,42,28,1.0,0.6190476190476191,0.7647058823529411,0.7714285714285715,26,0,28,16
actionable_binary,Qwen2.5 7B hierarchical,local_llm,70,42,28,1.0,0.5476190476190477,0.7076923076923077,0.7285714285714285,23,0,28,19
actionable_binary,Llama 3.1 8B hierarchical,local_llm,70,42,28,0.9230769230769232,0.5714285714285714,0.7058823529411765,0.7142857142857143,24,2,26,18
strict_binary,thematic_score,deterministic_score,53,25,28,0.9565217391304348,0.88,0.9166666666666666,0.9245283018867924,22,1,27,3
strict_binary,Qwen2.5 7B hierarchical,local_llm,53,25,28,1.0,0.64,0.7804878048780488,0.8301886792452831,16,0,28,9
strict_binary,TF IDF Logistic Regression,classical_ml,53,25,28,0.6875,0.88,0.7719298245614035,0.7547169811320755,22,10,18,3
strict_binary,Qwen2.5 7B direct,local_llm,53,25,28,1.0,0.6,0.75,0.8113207547169812,15,0,28,10
strict_binary,Llama 3.1 8B hierarchical,local_llm,53,25,28,0.9285714285714286,0.52,0.6666666666666666,0.7547169811320755,13,1,27,12
strict_binary,Qwen2.5 14B hierarchical,local_llm,53,25,28,1.0,0.12,0.2142857142857142,0.5849056603773585,3,0,28,22
strict_binary,Qwen2.5 14B direct,local_llm,53,25,28,1.0,0.12,0.2142857142857142,0.5849056603773585,3,0,28,22
